fecha,Barranquilla,Bogota,Bucaramanga,Cali,Medellin,Pasto,Villavicencio
2018-01-01,97.2644,97.6338,98.1912,97.5079,97.0433,97.3704,98.0524
2018-02-01,97.955,98.3856,98.7018,98.1319,97.9847,97.9936,98.4348
2018-03-01,97.8865,98.5726,99.1558,98.6815,98.1218,98.2875,98.5234
2018-04-01,98.4248,98.9767,99.6318,99.017,98.691,98.3563,98.8683
2018-05-01,98.8874,99.2934,99.572,99.2447,98.9673,98.6416,99.0166
2018-06-01,98.9566,99.4821,99.6915,99.4333,99.1256,98.7797,99.4324
2018-07-01,99.016,99.313,99.6815,99.2344,98.8976,98.6414,99.3131
2018-08-01,99.1546,99.3825,99.6815,99.4527,99.0658,98.7795,99.4919
2018-09-01,99.2538,99.5216,99.7114,99.8207,99.2738,99.1548,99.6312
2018-10-01,99.4722,99.6211,99.9507,99.7409,99.383,99.4226,99.7009
2018-11-01,99.8104,99.7307,99.7108,99.681,99.5718,99.6413,99.7009
2018-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-01-01,100.9,100.55,100.61,100.67,100.76,100.71,100.47
2019-02-01,101.3238,101.2438,101.5859,101.0827,101.3243,101.1431,100.8819
2019-03-01,101.7291,101.5374,101.911,101.7499,101.993,101.5679,101.2653
2019-04-01,102.1869,102.0045,102.176,102.2892,102.5438,101.9132,101.5995
2019-05-01,102.4525,102.3513,102.4621,102.5551,102.9232,102.0559,101.7823
2019-06-01,102.6574,102.5867,102.626,103.0269,103.2525,102.4335,102.4948
2019-07-01,103.2529,102.6893,102.9339,103.3875,103.4384,102.7305,102.4743
2019-08-01,103.2529,102.7714,103.1706,103.4909,103.6142,103.0284,102.5153
2019-09-01,103.3045,103.09,103.3976,103.9462,103.78,103.3066,102.6076
2019-10-01,103.5214,103.2034,103.3976,104.1541,104.0291,103.5442,102.741
2019-11-01,103.6974,103.3066,103.4493,104.2166,104.1331,103.7203,102.7923
2019-12-01,104.1329,103.5029,103.739,104.5292,104.4976,103.8655,102.9465
2020-01-01,105.1118,103.7927,104.0813,105.1355,105.1037,104.1044,103.2759
2020-02-01,106.0052,104.6127,104.7994,105.7138,105.6397,104.5832,103.7407
2020-03-01,106.8851,105.1462,105.3968,106.3269,106.1785,105.012,104.498
2020-04-01,107.4088,105.3144,105.7657,106.3907,106.5182,105.7261,104.8637
2020-05-01,107.3444,104.8932,105.2686,106.1034,106.2519,105.5464,103.532
2020-06-01,107.0116,104.3372,105.016,105.9973,105.8907,103.9948,103.6148
2020-07-01,106.7762,104.2538,104.9214,105.9125,105.8589,105.2116,103.2003
2020-08-01,106.5947,104.1391,104.9739,105.9867,106.2612,105.0117,103.2829
2020-09-01,106.4774,104.7327,105.1524,106.2093,106.5587,105.1167,103.665
2020-10-01,106.3603,104.6699,104.8159,106.2624,106.5161,104.7593,103.7376
2020-11-01,105.988,104.5233,104.6272,106.2199,106.4096,104.665,103.5094
2020-12-01,106.465,104.7219,104.8992,106.4748,107.197,105.0209,103.9338
2021-01-01,106.795,104.9942,105.5391,107.1456,107.733,105.3989,104.3807
2021-02-01,107.8523,105.6766,106.394,107.7242,108.2932,106.0313,105.1844
2021-03-01,108.5533,106.1733,106.8728,108.1335,108.8996,106.5615,105.8892
2021-04-01,109.5086,106.7679,107.717,108.7499,109.3352,107.3607,106.6304
2021-05-01,110.4942,107.4299,108.7296,111.7622,109.9694,108.853,108.1445
2021-06-01,110.5494,107.4728,108.8166,110.3987,110.0244,109.615,108.1878
2021-07-01,111.1574,107.8167,108.958,110.6747,110.4755,109.9329,108.3501
2021-08-01,111.8466,108.2372,109.5028,111.1396,111.1052,110.1308,108.7943
2021-09-01,112.596,108.5511,110.0175,111.4397,111.7162,110.7915,109.3492
2021-10-01,112.5397,108.562,110.5236,111.4285,111.6492,110.4702,109.3601
2021-11-01,113.1812,109.0722,111.1314,111.8631,112.04,111.0999,110.1803
2021-12-01,114.2111,109.5739,112.2761,112.6797,112.9363,112.522,111.2601
2022-01-01,116.2212,111.2504,114.4767,114.6966,114.7433,113.9735,113.73
2022-02-01,118.4411,113.1194,116.171,116.6809,116.2808,115.6262,115.5497
2022-03-01,119.661,113.9791,117.2397,117.9527,117.9669,116.8402,116.867
2022-04-01,121.1927,115.4495,118.5528,119.5569,119.2292,118.1722,118.2577
2022-05-01,122.4773,116.3962,119.5605,120.5372,120.2068,119.0585,119.1446
2022-06-01,122.7345,117.048,120.1942,121.2002,120.8199,119.3323,119.5497
2022-07-01,123.9373,117.762,121.1197,122.2183,121.9073,120.7643,120.8289
2022-08-01,126.3417,118.7394,122.2461,123.5871,123.0166,121.8995,121.9889
2022-09-01,127.4282,119.8674,123.5052,124.5017,124.173,123.1794,123.0624
2022-10-01,127.7978,120.6825,124.4686,125.423,125.1664,124.2142,123.7884
2022-11-01,128.8585,121.5876,125.4768,126.326,126.2178,125.419,124.7292
2022-12-01,130.5208,123.1075,127.1958,128.082,127.3285,127.5637,126.3382
2023-01-01,132.6221,125.385,129.7016,130.3746,129.5949,129.9619,128.3217
2023-02-01,134.9032,127.7547,131.6601,132.239,131.6296,131.8333,130.2337
2023-03-01,136.3872,129.0834,132.7923,133.6407,133.3013,133.1649,131.4449
2023-04-01,137.1782,130.2322,133.443,134.6029,134.3677,133.6176,132.1678
2023-05-01,137.9464,130.675,133.8967,135.3567,135.3217,134.0719,132.5644
2023-06-01,138.4844,130.9886,134.7135,135.6003,135.8089,134.6887,132.7102
2023-07-01,139.2184,131.6567,135.158,136.2783,136.4879,135.1197,133.2277
2023-08-01,140.36,132.5651,136.1988,137.5594,137.2113,135.8628,134.0138
2023-09-01,141.2442,133.3738,136.7027,138.0821,137.7464,136.6236,134.6302
2023-10-01,141.6538,133.6672,137.0991,138.7311,137.9806,137.2248,134.5495
2023-11-01,143.6087,134.0548,137.9492,138.9253,138.7671,137.9658,134.7244
2023-12-01,144.0395,134.6983,138.5975,139.2309,139.5164,138.7522,135.4115
2024-01-01,144.8605,135.6142,140.1914,140.7068,141.6929,139.5292,136.4812
2024-02-01,146.4105,137.4722,141.5933,142.0154,142.7981,140.8268,137.4775
2024-03-01,147.3915,138.5994,142.2446,142.7396,143.9119,141.6296,138.2199
2024-04-01,148.659,139.4865,143.411,143.6389,144.3436,142.3235,139.2289
2024-05-01,149.105,140.1281,144.501,144.0267,144.8488,142.5513,139.758
2024-06-01,149.2989,140.7307,144.7322,144.0411,145.4427,142.9076,140.2332
2024-07-01,149.2541,141.0543,145.1085,144.358,145.9518,143.5507,140.4155
2024-08-01,149.1645,141.0825,145.4857,144.6179,145.5577,143.4789,139.8819
2024-09-01,148.9855,141.5481,146.1841,144.9649,146.0817,143.8663,140.4274
2024-10-01,147.5404,141.4349,145.8186,144.82,146.1401,143.9527,140.2589
2024-11-01,147.6436,141.8309,146.3436,145.0372,146.6808,144.0678,140.9322
2024-12-01,148.8543,142.3557,146.9875,145.5448,147.4143,144.7449,141.9046
2025-01-01,150.2387,143.6226,149.5745,146.7383,148.9621,146.1345,143.1392
2025-02-01,152.1767,145.8201,151.145,148.0003,149.8857,147.1282,144.771
2025-03-01,153.4702,146.2429,152.2332,149.0067,151.0548,147.9668,145.5962
2025-04-01,154.345,147.3836,152.7356,150.1689,151.8856,149.1062,146.295
2025-05-01,154.9315,147.7963,152.6287,150.4993,152.6906,149.7324,146.5583
2025-06-01,155.009,148.0476,152.6439,150.4391,152.7516,149.6875,146.7196
2025-07-01,155.381,148.4769,153.3614,150.9355,152.9808,150.1216,147.5118
2025-08-01,155.4276,148.6254,154.0208,151.4487,153.302,150.602,147.4823
2025-09-01,156.0493,149.205,154.5907,151.5699,153.8692,150.8731,148.1903
2025-10-01,155.5032,149.6228,154.8381,152.1307,154.0847,151.0843,148.6793
2025-11-01,155.8142,149.7126,154.9155,152.085,154.3466,150.9936,148.7834
2025-12-01,156.3907,150.0569,155.5041,152.5565,154.8714,150.9936,149.0363
2026-01-01,158.3769,151.5725,158.4121,154.555,157.086,152.2771,150.8247
2026-02-01,160.2299,153.164,159.917,155.8069,159.1596,153.5562,152.4687
2026-03-01,160.5343,154.4506,161.0364,156.991,160.7034,154.8154,153.5665
2026-04-01,161.3691,155.6244,162.7112,158.7022,161.6355,155.6204,154.6875
2026-05-01,161.9661,156.2936,162.8088,159.5751,162.8155,156.4919,155.6002
