Fecha,Medellín,Barranquilla,Bogota,Florencia,Villavicencio,Pasto,Bucaramanga,Cali
2019-01-01,1.04,1.0,1.71,2.03,1.78,1.1,1.22,2.3
2019-02-01,0.4,-0.18,0.2,-0.33,-0.21,0.22,1.13,0.09
2019-03-01,0.8,0.66,0.92,0.31,1.34,0.45,1.29,1.69
2019-04-01,0.94,0.89,1.03,0.71,0.68,0.43,0.63,1.13
2019-05-01,0.38,1.03,0.58,0.9,0.93,-0.01,0.35,0.57
2019-06-01,0.94,0.8,0.66,1.45,1.7,0.89,0.67,1.28
2019-07-01,0.33,1.27,0.51,1.19,0.18,0.43,-0.03,1.44
2019-08-01,0.2,-0.68,0.04,-0.11,-0.66,0.42,0.19,-0.56
2019-09-01,0.72,-0.62,0.7,0.04,-0.16,1.0,0.89,1.07
2019-10-01,0.7,0.14,0.17,0.08,-0.09,0.68,0.15,0.16
2019-11-01,0.08,-0.81,-0.57,-0.62,-0.88,0.0,-0.73,-0.77
2019-12-01,-0.01,0.29,-0.68,-0.07,-0.29,-0.52,0.07,-0.15
2020-01-01,0.58,0.85,0.66,1.0,0.53,0.42,0.24,1.52
2020-02-01,0.78,1.53,0.86,1.03,0.56,0.42,0.77,1.24
2020-03-01,2.03,2.08,2.41,2.14,3.57,1.75,1.72,2.47
2020-04-01,1.78,2.35,1.47,3.38,2.27,4.34,3.23,1.45
2020-05-01,-0.5,0.13,0.41,-0.39,0.04,-0.47,-0.04,-0.41
2020-06-01,-0.64,-0.15,0.18,0.1,-0.03,0.02,-0.05,-0.23
2020-07-01,-0.17,-0.8,-0.81,-1.15,-1.15,-0.72,-1.07,-1.09
2020-08-01,0.65,-1.07,-0.55,0.29,-0.35,-0.13,-0.29,-0.66
2020-09-01,-0.09,-0.34,0.15,-0.54,-0.82,-0.62,0.17,0.51
2020-10-01,0.08,-0.67,-0.24,-0.95,-0.6,-0.75,-0.28,-0.65
2020-11-01,0.39,-0.47,-0.03,0.06,-0.51,-0.09,0.1,0.33
2020-12-01,0.63,0.15,0.25,1.01,1.57,0.33,0.66,-0.03
2021-01-01,0.93,1.49,1.56,2.04,2.05,0.32,1.96,1.84
2021-02-01,0.29,0.43,0.61,0.15,0.8,0.27,1.12,0.56
2021-03-01,1.12,0.94,0.94,1.31,2.1,1.22,1.12,1.42
2021-04-01,1.67,2.04,2.35,1.53,2.61,2.38,3.0,1.63
2021-05-01,2.98,3.19,4.29,16.91,6.58,6.29,4.04,15.39
2021-06-01,-0.35,0.94,-0.57,-5.48,-1.21,1.13,-0.68,-7.64
2021-07-01,0.79,1.1,0.33,-1.75,0.46,0.34,0.2,-0.61
2021-08-01,1.67,1.36,1.37,0.54,0.12,-0.3,1.11,0.32
2021-09-01,0.73,0.64,0.95,-0.62,0.91,0.2,1.15,0.42
2021-10-01,1.37,0.55,0.83,0.12,0.9,0.48,1.13,0.64
2021-12-01,2.03,2.23,1.68,3.17,2.98,2.9,2.64,1.37
2022-01-01,2.95,3.23,3.71,4.23,4.42,3.36,4.51,4.94
2022-02-01,2.69,3.25,3.38,3.98,3.04,3.09,3.52,3.88
2022-03-01,3.26,2.89,2.71,2.71,3.12,2.11,2.53,3.38
2022-04-01,2.69,2.69,2.81,2.1,3.08,2.74,2.73,2.78
2022-05-01,1.28,2.01,1.83,1.34,1.24,1.58,0.98,1.41
2022-06-01,1.44,0.22,0.53,0.12,-0.17,-0.4,0.61,0.73
2022-07-01,1.29,0.99,0.97,1.32,1.71,2.24,0.67,1.28
2022-08-01,1.63,2.24,1.66,2.26,1.69,1.93,1.25,2.25
2022-09-01,1.9,0.77,1.83,1.88,1.23,2.23,1.7,1.49
2022-10-01,1.13,0.95,1.17,1.24,1.07,0.91,1.43,1.4
2022-11-01,1.66,2.02,1.24,1.1,1.45,2.03,1.62,1.38
